TIPO,QUESTÃO,PERFIL,COMPETÊNCIA,OBJETO DE CONHECIMENTO
dfg1,QUESTÃO DISCURSIVA 1,Colaborativo e propositivo no trabalho em equipes e/ou redes que integrem diferentes áreas do conhecimento,Buscar e propor soluções viáveis e inovadoras na resolução de situações-problema,"Educação e desenvolvimento humano e social; Ciência, tecnologia e inovação; Promoção da saúde e prevenção de doenças."
dfg2,QUESTÃO DISCURSIVA 2,"Ético, comprometido e responsável com questões sociais, culturais e ambientais",Planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades em contextos diversos,"Ética, democracia e cidadania; Relações de desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg1,QUESTÃO 1,Comprometido com o exercício da cidadania,"Fomentar diálogo e práticas de convivência, compartilhando saberes e conhecimentos","Ética, democracia e cidadania."
ofg2,QUESTÃO 2,"Proativo, solidário e empático na tomada de decisões, atuando com responsabilidade socioambiental e respeito às diferenças","Identificar, analisar e interpretar diferentes representações verbais, não verbais, gráficas e numéricas de fenômenos diversos ou de um mesmo significado","Ética, democracia e cidadania; Relações de desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg3,QUESTÃO 3,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação","Ler, produzir e interpretar textos com clareza e coerência","Relações de desigualdade, de opressão e/ou de exploração étnico- raciais, de classe, de gênero e de orientação sexual; Estado, sociedade e trabalho."
ofg4,QUESTÃO 4,"Ético, comprometido e responsável com questões sociais, culturais e ambientais",Sistematizar e analisar informações para tomada de decisões,"Meio ambiente: biodiversidade, sustentabilidade e intervenção humana; Territórios, sociodiversidade e multiculturalismo."
ofg5,QUESTÃO 5,Comprometido com o exercício da cidadania,Formular e articular argumentos e contra-argumentos consistentes em situações sociocomunicativas,"Acessibilidade e inclusão social; Relação entre campo e cidade, desenvolvimento urbano e rural e qualidade de vida."
ofg6,QUESTÃO 6,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação","Identificar, compreender e analisar situações-problema
utilizando pensamento holístico e sistêmico ao se abordar a complexidade da realidade","Processos de globalização e política internacional; Territórios, sociodiversidade e multiculturalismo."
ofg7,QUESTÃO 7,Comprometido com o exercício da cidadania,"Identificar, analisar e interpretar diferentes representações verbais, não verbais, gráficas e numéricas de fenômenos diversos ou de um mesmo significado","Ética, democracia e cidadania; Relações de desigualdade, de opressão e/ou de exploração étnico-raciais, de classe, de gênero e de orientação sexual."
ofg8,QUESTÃO 8,"Humanista, crítica e sensível, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam a área de sua formação",Compreender as linguagens e suas respectivas variações,"Cultura, arte e comunicação."
